"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.093263083E0,-3.483406219E0,-5.405409393E0,8.136031036E0,1.037051448E1
2.103301083E0,-3.894900513E0,-6.102060699E0,7.231611786E0,1.023238016E1
2.113338083E0,-4.534819794E0,-6.885232086E0,5.979765015E0,1.018472391E1
2.123376083E0,-4.388723602E0,-7.331304474E0,5.954617310E0,1.041471975E1
2.133413083E0,-3.496878204E0,-7.201674042E0,5.846991119E0,9.913605365E0
2.143451083E0,-2.187550964E0,-6.240822144E0,6.620283051E0,9.357424214E0
2.153489083E0,-1.264869690E0,-5.465434570E0,7.217541046E0,9.141322067E0
2.163526083E0,-1.085991669E0,-5.125940552E0,7.422165527E0,9.085328038E0
2.173564083E0,-1.343755646E0,-5.187312927E0,7.673642578E0,9.359416919E0
2.183602083E0,-1.676663361E0,-5.364095306E0,7.935148773E0,9.723749510E0
2.193639083E0,-1.771865387E0,-5.638923798E0,8.330626373E0,1.021451439E1
2.203677083E0,-1.488055573E0,-6.025420074E0,8.771908722E0,1.074552833E1
2.213714083E0,-9.514215088E-1,-5.993237000E0,9.356892242E0,1.115237755E1
2.223752083E0,-4.924758911E-1,-5.825136566E0,9.523645477E0,1.117472916E1
2.233790083E0,-4.001179504E-1,-5.959407349E0,9.352850647E0,1.109731704E1
2.243827083E0,-6.608757019E-1,-6.089037781E0,9.117989044E0,1.098411863E1
2.253865083E0,-1.037642212E0,-6.036347351E0,8.785380707E0,1.070967342E1
2.263903083E0,-1.406624908E0,-5.929319916E0,8.400830383E0,1.037831294E1
2.273940083E0,-1.572030945E0,-5.823489990E0,8.206384735E0,1.018474680E1
2.283978083E0,-1.546733551E0,-5.918093262E0,8.316855011E0,1.032406363E1
2.294015083E0,-1.495689697E0,-6.159840546E0,8.731193390E0,1.078955334E1
2.304053083E0,-1.224453735E0,-6.460565186E0,8.769064636E0,1.096059688E1
2.314091083E0,-7.927514648E-1,-6.709198151E0,8.749904480E0,1.105452953E1
2.324128083E0,1.407073975E-2,-6.647676086E0,8.771908722E0,1.100627902E1
2.334166083E0,1.496887207E-2,-5.980812836E0,8.378826141E0,1.029441954E1
2.344204083E0,-3.737727356E-1,-5.634133759E0,7.977959747E0,9.773996675E0
2.354241083E0,-1.605112152E0,-6.358178101E0,7.745493164E0,1.014866879E1
2.364279083E0,-2.655926971E0,-6.490802307E0,7.322472839E0,1.013918494E1
2.374315625E0,-2.806064758E0,-6.277795258E0,6.756799164E0,9.640490012E0
2.384353625E0,-2.665956116E0,-6.049070892E0,7.174580383E0,9.755674469E0
2.394391625E0,-2.105371857E0,-6.315067749E0,6.791227570E0,9.509650006E0
2.404428625E0,-1.027613068E0,-5.854625244E0,7.367379456E0,9.466303682E0
2.414466625E0,3.769161987E-1,-5.399272156E0,7.865543518E0,9.547825955E0
2.424504625E0,1.621278534E0,-5.377118225E0,6.181844788E0,8.352074561E0
2.434541625E0,8.237370300E-1,-5.649701385E0,5.445076904E0,7.889647073E0
2.444579625E0,-7.661068726E-1,-5.741011505E0,4.861739960E0,7.561920938E0
2.454616625E0,-6.629713440E-1,-4.885839844E0,3.849694519E0,6.255486382E0
2.464654625E0,-1.437011719E-1,-4.736600189E0,4.210294647E0,6.338975658E0
2.474692625E0,-1.030756531E0,-5.522166595E0,4.461023254E0,7.173389116E0
2.484729625E0,-1.703158264E0,-6.580016785E0,5.957012329E0,9.037884976E0
2.494767625E0,-2.084265747E0,-7.765252075E0,7.648345184E0,1.109686837E1
2.504805625E0,-1.579216003E0,-7.605085144E0,7.880811768E0,1.106519034E1
2.514842625E0,-1.097218323E-1,-6.720424805E0,7.228318634E0,9.870397090E0
2.524880625E0,-3.607498169E-2,-7.187902679E0,6.315666504E0,9.568431936E0
2.534917625E0,-1.614243164E0,-7.770491180E0,5.774691467E0,9.814956736E0
2.544955625E0,-2.408491516E0,-7.661068726E0,5.763315125E0,9.884766392E0
2.554993625E0,-2.598596191E0,-7.334897003E0,5.915398865E0,9.774730684E0
2.565030625E0,-2.864143982E0,-7.677983551E0,6.120921478E0,1.022841297E1
2.575068625E0,-2.568808136E0,-8.561895447E0,6.076763306E0,1.080887974E1
2.585106625E0,-1.183888092E0,-8.949888611E0,6.903793488E0,1.136505441E1
2.595143625E0,-7.384144592E-1,-8.824449463E0,9.553882599E0,1.302662032E1
2.605181625E0,6.885681152E-2,-1.032208511E1,1.102008362E1,1.509941805E1
2.615218625E0,6.965016174E-1,-1.093775482E1,1.037687119E1,1.509301331E1
2.625256625E0,5.641767883E-1,-9.605076141E0,7.551795959E0,1.223132885E1
2.635294625E0,8.279283142E-1,-8.193810883E0,3.944297791E0,9.131346403E0
2.645331625E0,1.105151825E0,-6.729555817E0,2.339784393E0,7.209914913E0
2.655369625E0,1.321601715E0,-5.545518036E0,3.627107391E0,6.756871274E0
2.665406625E0,1.429227905E0,-5.835465088E0,4.629572754E0,7.584740541E0
2.675444625E0,2.330653381E0,-6.571634216E0,6.092630310E0,9.259506766E0
2.685482625E0,3.169658661E0,-7.302414551E0,7.331454163E0,1.082230172E1
2.695519625E0,2.962938538E0,-8.188122711E0,8.653804321E0,1.227650958E1
2.705557625E0,2.130818939E0,-8.503965912E0,9.047785034E0,1.259842211E1
2.715595625E0,1.916764069E0,-7.603887634E0,6.805298309E0,1.038292718E1
2.725632625E0,1.954485626E0,-6.623725891E0,6.360722809E0,9.388959122E0
2.735670625E0,1.563648376E0,-6.577921143E0,5.660029907E0,8.817594987E0
2.745707625E0,1.025367737E0,-6.879094849E0,5.008135529E0,8.570574450E0
2.755745625E0,2.686912537E-1,-7.579638062E0,2.127076721E0,7.877027581E0
2.765783625E0,2.683918762E-1,-7.311096497E0,9.461824036E-1,7.376952441E0
2.775820625E0,-2.993774414E-1,-6.243067474E0,1.833686829E-1,6.252930706E0
2.785858625E0,-1.431323547E0,-4.215234375E0,-1.850002899E0,4.820725947E0
2.795896625E0,-1.572330322E0,-3.188070374E0,1.495540009E0,3.856508170E0
2.805933625E0,1.330283661E0,-7.043453064E0,1.131167725E1,1.339156181E1
2.815971625E0,7.059020691E0,-1.122994720E1,1.545805481E1,2.036892108E1
2.826008625E0,9.590855713E0,-1.242446320E1,8.306526489E0,1.775810185E1
2.836046625E0,5.941444702E0,-1.185025726E1,1.008213409E1,1.665469274E1
2.846084625E0,6.597380676E0,-1.021670425E1,1.395518005E1,1.851090295E1
2.856121625E0,4.223766632E0,-8.069120178E0,6.443650360E0,1.115668118E1
2.866159625E0,1.746867371E0,-7.119494934E0,5.803282013E0,9.349697099E0
2.876197625E0,-8.202941895E-2,-5.565276947E0,5.499264221E0,7.824381336E0
2.886234625E0,3.571572876E-1,-4.551285553E0,5.665119324E0,7.275667561E0
2.896272625E0,1.067579956E0,-5.663023682E0,7.140750732E0,9.176049542E0
2.906309625E0,2.014510803E0,-6.611900482E0,7.794141998E0,1.041749160E1
2.916347625E0,8.843609619E-1,-7.407795410E0,8.891360321E0,1.160662809E1
2.926385625E0,3.068618774E-1,-7.672295380E0,6.427034912E0,1.001324415E1
2.936422625E0,5.316943359E-1,-6.804998932E0,6.564748535E0,9.470302670E0
