Times (us),interval (us),strain (raw),sensorValue0 (raw)
9279540,12500,2765450,517
9292040,12500,2765339,517
9304540,12500,2765816,517
9317040,12500,2766314,517
9329540,12500,2766519,517
9342040,12500,2766455,517
9354540,12500,2766241,518
9367040,12500,2765699,517
9379540,12500,2765571,517
9392044,12504,2765732,517
9404548,12504,2765857,517
9417048,12500,2766274,517
9429548,12500,2766750,517
9442048,12500,2766946,517
9454548,12500,2766623,517
9467048,12500,2766163,517
9479548,12500,2765960,517
9492048,12500,2765702,517
9504548,12500,2765655,517
9517048,12500,2765881,517
9529548,12500,2766139,517
9542052,12504,2766462,517
9554556,12504,2766674,517
9567056,12500,2766162,517
9579560,12504,2765339,517
9592064,12504,2765396,517
9604564,12500,2765610,517
9617064,12500,2765746,518
9629568,12504,2766090,517
9642068,12500,2766137,517
9654568,12500,2765772,517
9667072,12504,2765320,517
9679572,12500,2764951,518
9692076,12504,2764948,517
9704576,12500,2765623,517
9717076,12500,2765603,518
9729576,12500,2765502,517
9742076,12500,2765277,517
9754576,12500,2764941,517
9767080,12504,2764818,517
9779580,12500,2764970,517
9792084,12504,2765157,517
9804584,12500,2765331,518
9817084,12500,2764960,517
9829584,12500,2764876,517
9842084,12500,2765026,518
9854584,12500,2765106,517
9867084,12500,2765273,517
9879584,12500,2765573,517
9892088,12504,2765630,517
9904592,12504,2765366,517
9917092,12500,2765239,517
9929592,12500,2764749,517
9942096,12504,2764651,517
9954596,12500,2765126,518
9967100,12504,2765823,518
9979600,12500,2766549,517
9992100,12500,2766722,517
10004600,12500,2766385,517
10017100,12500,2766069,517
10029604,12504,2765922,517
10042104,12500,2766287,517
10054604,12500,2766526,517
10067104,12500,2766724,517
10079604,12500,2766815,517
10092104,12500,2766653,517
10104608,12504,2766290,517
10117108,12500,2766086,517
10129608,12500,2766147,517
10142112,12504,2766349,517
10154612,12500,2766667,517
10167112,12500,2766792,517
10179612,12500,2766869,517
10192116,12504,2766570,517
10204616,12500,2765994,517
10217116,12500,2765590,517
10229616,12500,2765644,518
10242116,12500,2765954,518
10254616,12500,2766443,518
10267116,12500,2766549,517
10279620,12504,2766191,517
10292120,12500,2765895,517
10304620,12500,2765486,517
10317124,12504,2765425,517
10329628,12504,2765756,517
10342128,12500,2766011,517
10354628,12500,2766343,517
10367128,12500,2766426,517
10379632,12504,2765218,517
10392136,12504,2764911,518
10404640,12504,2764822,517
10417140,12500,2764951,517
10429644,12504,2765240,518
10442144,12500,2765764,518
10454648,12504,2766250,518
10467148,12500,2766266,517
10479648,12500,-437870,517
10502240,22592,2764911,517
10514740,12500,2765016,518
10527244,12504,2765709,517
10539744,12500,2766307,517
10552248,12504,2766227,517
10564748,12500,2765893,517
10577248,12500,2765538,517
10589748,12500,2765080,517
10602248,12500,2764897,517
10614748,12500,2765688,517
10627248,12500,2766270,517
10639752,12504,2766416,517
10652256,12504,2765966,517
10664756,12500,2765459,517
10677260,12504,2765067,517
10689760,12500,2764868,518
10702260,12500,2765128,518
10714764,12504,2765622,517
10727264,12500,2766057,518
10739764,12500,2766081,517
10752264,12500,2765320,517
10764768,12504,2764343,517
10777268,12500,2764105,518
10789772,12504,2764804,518
10802272,12500,2765913,517
10814776,12504,2766621,517
10827276,12500,2766657,517
10839776,12500,2765110,517
10852276,12500,2764146,518
10864776,12500,2763968,518
10877276,12500,2764645,518
10889780,12504,2765778,518
10902284,12504,2766773,518
10914784,12500,2766935,518
10927288,12504,2766158,518
10939792,12504,2765181,518
10952292,12500,2764002,518
10964792,12500,2764293,518
10977296,12504,2765477,517
10989796,12500,2766312,518
11002296,12500,2766303,518
11014796,12500,2765792,519
11027296,12500,2764927,518
11039796,12500,2764227,517
11052300,12504,2763949,518
11064800,12500,2765254,517
11077300,12500,2765996,517
11089800,12500,2766328,517
11102304,12504,2766073,517
11114804,12500,2765432,518
11127308,12504,2764537,517
11139808,12500,2764013,517
11152312,12504,2764034,518
11164812,12500,2764817,518
11177312,12500,2766398,518
11189816,12504,2766333,518
11202316,12500,2765539,518
11214816,12500,2764534,517
11227316,12500,2763931,517
11239820,12504,2763918,517
11252320,12500,2764602,518
11264820,12500,2765677,518
11277320,12500,2766361,517
11289824,12504,2765376,517
11302324,12500,2764406,517
11314828,12504,2763652,517
11327332,12504,2763986,517
11339836,12504,2764661,517
11352336,12500,2765385,517
11364836,12500,2765932,517
11377336,12500,2765952,518
11389836,12500,2765717,518
11402340,12504,2765430,518
11414844,12504,2765450,517
11427344,12500,2766123,518
11439844,12500,2767032,518
11452348,12504,2767513,518
11464848,12500,2767417,518
11477348,12500,2766801,518
11489848,12500,2765789,518
11502348,12500,2765147,517
11514848,12500,2765802,518
11527348,12500,2766653,518
11539852,12504,2767484,518
11552352,12500,2767449,518
11564856,12504,2766778,518
11577360,12504,2765999,518
11589860,12500,2765137,518
11602360,12500,2765160,518
11614864,12504,2765943,517
11627368,12504,2767268,518
11639868,12500,2767342,518
11652368,12500,2766947,518
11664868,12500,2766145,518
11677372,12504,2765434,518
11689872,12500,2765264,518
11702372,12500,2765675,518
11714872,12500,2766593,519
11727372,12500,2767207,519
11739872,12500,2766852,518
11752376,12504,2766275,518
11764876,12500,2765747,518
11777376,12500,2765614,518
11789876,12500,2765833,517
11802380,12504,2766300,517
11814880,12500,2766863,517
11827380,12500,2767138,516
11839884,12504,2766927,518
11852388,12504,2765621,518
11864888,12500,2765227,518
11877392,12504,2765348,517
11889896,12504,2765985,518
11902400,12504,2766488,517
11914900,12500,2766914,518
11927400,12500,2766916,518
11939904,12504,2766268,517
11952408,12504,2765624,517
11964912,12504,2765073,518
11977416,12504,2765745,518
11989920,12504,2766484,518
12002420,12500,2766667,518
12014920,12500,2766672,517
12027420,12500,2766295,517
12039920,12500,2765755,517
12052420,12500,2765185,517
12064920,12500,2765047,517
12077420,12500,2766041,516
12089924,12504,2766355,517
12102424,12500,2766465,517
12114924,12500,2766406,517
12127424,12500,2766213,517
12139924,12500,2765529,517
12152424,12500,2765256,517
12164924,12500,2765379,517
12177424,12500,2765710,517
12189928,12504,2766321,517
12202428,12500,2766389,517
12214932,12504,2766278,517
12227432,12500,2765872,517
12239932,12500,2765446,517
12252436,12504,2765228,517
12264936,12500,2765237,517
12277436,12500,2765510,517
12289944,12508,2766214,517
12302444,12500,2766285,517
12314944,12500,2765982,517
12327448,12504,2765623,517
12339948,12500,2765346,517
12352448,12500,2765199,517
12364952,12504,2765454,517
12377456,12504,2765912,517
12389960,12504,2766141,517
12402460,12500,2766261,517
12414960,12500,2766027,516
12427460,12500,2765771,517
12439964,12504,2765580,517
12452468,12504,2765835,517
12464968,12500,2766174,517
12477472,12504,2766486,517
12489976,12504,2766743,517
12502480,12504,2766666,517
12514980,12500,2766023,517
12527484,12504,2765604,517
12539984,12500,2765531,517
12552484,12500,2765762,517
12564984,12500,2766186,517
12577488,12504,2766531,517
12589992,12504,2766478,517
12602496,12504,2766227,516
12614996,12500,2765789,516
12627496,12500,2765261,516
12639996,12500,2765417,516
12652500,12504,2765740,516
12665000,12500,2766293,517
12677500,12500,2766616,517
12690004,12504,2766437,517
12702504,12500,2766161,517
12715004,12500,2765802,517
12727508,12504,2765343,517
12740008,12500,2765696,517
12752512,12504,2766133,517
12765012,12500,2766642,517
12777512,12500,2766698,517
12790012,12500,2766199,517
12802512,12500,2765477,519
12815012,12500,2764943,518
12827512,12500,2764709,517
12840016,12504,2765026,517
12852520,12504,2765904,517
12865024,12504,2766470,517
12877524,12500,2766794,517
12890024,12500,2766375,517
12902528,12504,2765664,517
12915028,12500,2765126,517
12927528,12500,2765043,517
12940028,12500,2765491,517
12952528,12500,2766208,517
12965032,12504,2766841,517
12977532,12500,2766544,517
12990036,12504,2765736,517
13002536,12500,2764932,517
