Times (us),interval (us),strain (raw),sensorValue0 (raw)
8917012,12500,2762742,518
8929516,12504,2762980,519
8942020,12504,2763319,519
8954524,12504,2763048,519
8967024,12500,2762756,517
8979528,12504,2762596,517
8992028,12500,2762648,516
9004528,12500,2762995,517
9017032,12504,2763162,518
9029536,12504,2762968,519
9042036,12500,2762740,520
9054536,12500,2762872,520
9067036,12500,2763078,520
9079536,12500,2763052,520
9092040,12504,2762627,520
9104540,12500,2762527,518
9117040,12500,2762650,517
9129544,12504,2762867,517
9142044,12500,2762930,517
9154544,12500,2762712,516
9167044,12500,2762860,517
9179544,12500,2762956,516
9192044,12500,2762954,516
9204548,12504,2762830,516
9217048,12500,2762790,516
9229548,12500,2762968,516
9242048,12500,2763156,516
9254548,12500,2762909,517
9267048,12500,2763033,517
9279548,12500,2762952,517
9292048,12500,2762706,517
9304548,12500,2762619,517
9317048,12500,2762781,517
9329548,12500,2762916,517
9342048,12500,2762807,517
9354548,12500,2762884,517
9367048,12500,2763143,517
9379552,12504,2762787,517
9392052,12500,2762624,517
9404552,12500,2762888,517
9417052,12500,2762989,517
9429552,12500,2762950,517
9442052,12500,2762690,518
9454552,12500,2762547,517
9467056,12504,2762883,517
9479556,12500,2762913,517
9492056,12500,2762762,518
9504560,12504,2762835,518
9517064,12504,2762984,518
9529568,12504,2763175,520
9542072,12504,2762999,521
9554572,12500,2762717,521
9567072,12500,2762683,521
9579576,12504,2763019,522
9592076,12500,2762845,522
9604576,12500,2762642,521
9617080,12504,2762688,521
9629580,12500,2762709,522
9642080,12500,2762616,522
9654584,12504,2762633,522
9667084,12500,2762538,521
9679584,12500,2762588,522
9692088,12504,2762639,522
9704588,12500,2762662,522
9717088,12500,2762750,522
9729588,12500,2762774,522
9742088,12500,2762779,522
9754588,12500,2762548,520
9767092,12504,2762467,522
9779592,12500,2762717,522
9792092,12500,2763035,522
9804596,12504,2762536,522
9817096,12500,2762309,522
9829600,12504,2762597,522
9842100,12500,2762994,522
