Times (us),interval (us),strain (raw),sensorValue0 (raw)
8949716,12500,2760749,532
8962220,12504,2762481,532
8974720,12500,2762305,532
8987220,12500,2761301,532
8999724,12504,2760963,532
9012228,12504,2761601,532
9024728,12500,2762121,532
9037232,12504,2761761,532
9049732,12500,2761308,533
9062232,12500,2761435,532
9074732,12500,2761941,532
9087232,12500,2761589,532
9099732,12500,2761324,532
9112232,12500,2761544,533
9124732,12500,2761880,532
9137232,12500,2761983,532
9149732,12500,2761825,532
9162232,12500,2761501,532
9174732,12500,2761352,532
9187232,12500,2761723,532
9199736,12504,2761634,532
9212236,12500,2761388,532
9224736,12500,2761380,532
9237236,12500,2761742,532
9249740,12504,2761889,532
9262240,12500,2761774,532
9274740,12500,2761463,532
9287240,12500,2761399,532
9299740,12500,2761891,532
9312240,12500,2761933,532
9324740,12500,2761610,532
9337240,12500,2761398,532
9349744,12504,2761716,532
9362244,12500,2761778,532
9374744,12500,2761691,532
9387244,12500,2761615,532
9399744,12500,2761297,532
9412248,12504,2761708,532
9424752,12504,2761817,532
9437252,12500,2761669,532
9449752,12500,2761464,532
9462252,12500,2761643,532
9474756,12504,2761835,532
9487256,12500,2762021,532
9499756,12500,2761775,532
9512256,12500,2761437,532
9524756,12500,2761747,532
9537256,12500,2762039,532
9549756,12500,2761614,532
9562256,12500,2761210,532
9574760,12504,2761373,532
9587260,12500,2761869,532
9599760,12500,2761937,532
9612260,12500,2761352,532
9624764,12504,2761208,532
9637264,12500,2762038,532
9649764,12500,2761952,532
9662264,12500,2761643,532
9674768,12504,2761560,532
9687268,12500,2761718,532
9699768,12500,2761800,532
9712272,12504,2761643,532
9724772,12500,2761686,532
9737272,12500,2761645,532
9749772,12500,2761435,532
9762272,12500,2761451,532
9774776,12504,2761632,532
9787276,12500,2761745,532
9799776,12500,2761855,532
9812276,12500,2761617,532
9824780,12504,2761405,532
9837284,12504,2761444,532
9849784,12500,2761931,532
9862284,12500,2761581,532
9874788,12504,2761372,532
9887288,12500,2761506,532
9899788,12500,2761738,532
9912288,12500,2761661,533
9924788,12500,2761389,532
9937292,12504,2761598,532
