Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
3428,439,437,434
3432,439,435,431
3436,439,433,427
3440,439,435,431
3444,439,437,434
3448,439,435,431
3452,439,433,427
3456,439,435,430
3460,439,437,434
3464,439,436,433
3468,439,433,428
3472,439,434,429
3476,439,437,434
3480,439,436,433
3484,439,433,428
3488,439,433,428
3492,439,437,434
3496,439,436,433
3500,439,434,429
3504,439,433,427
3508,439,436,432
3512,440,437,434
3516,441,435,430
3520,440,434,428
3524,439,436,432
3528,437,436,433
3532,437,432,428
3536,438,432,426
3540,440,436,431
3544,440,437,434
3548,439,435,431
3552,438,432,426
3556,439,434,429
3560,440,437,434
3564,441,437,433
3568,440,434,428
3572,439,435,430
3576,439,437,434
3580,439,436,432
3584,439,433,428
3588,439,433,428
3592,439,436,433
3596,439,437,434
3600,439,433,428
3604,439,433,428
3608,439,436,433
3612,438,436,434
3616,438,433,428
3620,438,432,426
3624,439,436,432
3628,440,437,434
3632,440,435,431
3636,440,433,427
3640,439,435,431
3644,439,437,435
3648,439,435,431
3652,440,433,427
3656,440,436,431
3660,439,438,435
3664,439,435,431
3668,439,432,426
3672,439,434,429
3676,439,437,434
3680,439,436,433
3684,439,433,427
3688,439,433,428
3692,439,437,434
3696,439,436,433
3700,439,433,427
3704,439,433,427
3708,439,436,433
3712,439,436,434
3716,439,434,429
3720,439,433,426
3724,439,436,432
3728,439,437,435
3732,438,434,429
3736,439,432,426
3740,439,435,431
3744,439,437,435
3748,439,434,430
3752,439,432,426
3756,439,435,430
3760,439,437,435
3764,439,436,432
3768,439,433,427
3772,439,434,429
3776,439,437,435
3780,439,436,433
3784,439,433,427
3788,439,434,429
3792,439,437,434
3796,439,436,433
3800,439,433,428
3804,439,433,427
3808,439,436,433
3812,439,437,434
3816,439,433,428
3820,439,433,427
3824,439,436,432
3828,439,437,435
3832,439,434,429
3836,439,433,427
3840,439,436,431
3844,439,438,435
3848,439,435,432
3852,439,433,427
3856,439,435,430
3860,439,437,435
3864,439,435,432
3868,439,433,427
3872,439,435,430
3876,439,437,434
3880,439,436,432
3884,439,434,428
3888,439,434,429
3892,439,437,433
3896,439,436,433
3900,439,433,428
3904,439,433,428
3908,439,436,433
3912,439,436,433
3916,439,433,428
3920,439,433,428
3924,439,436,432
3928,439,437,434
3932,439,434,430
3936,439,433,427
3940,439,435,431
3944,439,437,434
3948,439,434,430
3952,439,433,427
3956,439,435,431
3960,439,437,434
3964,439,435,431
3968,439,433,427
3972,439,434,429
3976,439,437,434
3980,439,436,433
3984,439,433,427
3988,439,434,428
3992,439,437,434
3996,439,436,433
4000,439,433,427
4004,439,434,428
4008,439,437,434
4012,439,437,434
4016,439,434,429
4020,439,433,427
4024,439,436,432
4028,439,437,434
4032,439,434,429
4036,439,433,427
4040,439,436,432
4044,439,437,434
4048,439,434,430
4052,439,433,427
4056,439,435,430
4060,439,437,435
4064,439,435,432
4068,439,433,427
4072,439,435,430
4076,439,437,434
4080,439,436,432
4084,439,433,427
4088,439,434,429
4092,439,437,434
4096,439,436,433
4100,439,433,428
4104,439,433,427
4108,439,436,433
4112,439,437,434
4116,439,433,428
4120,439,433,427
4124,439,436,433
4128,439,437,434
4132,439,433,428
4136,439,433,427
4140,439,435,431
4144,439,437,435
4148,439,435,431
4152,439,433,427
4156,439,435,430
4160,439,437,435
4164,439,435,431
4168,439,433,427
4172,439,435,430
4176,440,437,435
4180,439,435,431
4184,439,433,427
4188,439,434,428
4192,439,437,434
4196,439,436,433
4200,439,433,427
4204,439,433,428
4208,439,437,434
4212,439,436,434
4216,439,433,428
4220,439,433,427
4224,439,436,432
4228,439,437,435
4232,439,434,430
4236,439,433,426
4240,439,436,431
4244,439,437,435
4248,439,435,431
4252,439,433,426
4256,439,435,431
4260,439,438,435
4264,439,435,431
4268,439,433,427
4272,439,434,429
4276,439,437,435
4280,439,436,433
4284,439,433,427
4288,439,434,428
4292,439,437,435
4296,439,436,433
4300,439,433,427
4304,439,434,428
4308,439,437,434
4312,439,437,434
4316,439,434,429
4320,439,433,427
4324,439,436,432
4328,439,437,435
4332,439,434,429
4336,439,433,427
4340,439,436,432
4344,439,437,434
4348,439,434,430
4352,439,433,428
4356,439,435,430
4360,439,437,434
4364,439,435,432
4368,439,433,428
4372,439,434,430
4376,439,437,434
4380,439,435,432
4384,439,433,427
4388,439,434,429
4392,439,437,434
4396,439,436,433
4400,439,433,428
4404,439,433,428
4408,439,436,433
4412,439,437,434
4416,439,434,429
4420,439,433,428
4424,439,436,433
4428,439,437,434
4432,439,434,429
4436,439,433,428
4440,439,436,432
4444,439,438,435
4448,439,435,431
4452,439,433,427
4456,439,435,431
4460,439,437,434
4464,439,435,431
4468,439,433,427
4472,439,435,430
4476,439,437,434
4480,439,436,432
4484,439,433,427
4488,439,434,428
4492,439,437,434
4496,439,436,433
4500,439,433,427
4504,439,433,428
4508,439,437,434
4512,439,436,434
4516,439,433,427
4520,439,433,427
4524,439,436,432
4528,439,437,435
4532,439,434,429
4536,439,433,426
4540,439,436,432
4544,439,437,435
4548,439,434,430
4552,439,432,426
4556,439,435,431
4560,439,437,435
