"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.353011792E0,-1.538800049E0,4.290827179E0,6.493197327E0,7.933518450E0
2.362981792E0,-1.470691681E0,4.202061768E0,6.501430206E0,7.879647952E0
2.372951792E0,-1.387464752E0,4.052373047E0,6.557862854E0,7.832774155E0
2.382920791E0,-1.398092651E0,3.894750824E0,6.727160797E0,7.898002243E0
2.392890791E0,-1.458716583E0,3.755989380E0,7.034172363E0,8.106472175E0
2.402860791E0,-1.584155731E0,3.634741516E0,7.300917664E0,8.308086061E0
2.412829792E0,-1.786534882E0,3.548520813E0,7.523355103E0,8.507912719E0
2.422799792E0,-1.954335938E0,3.436553650E0,7.763455811E0,8.712093667E0
2.432769792E0,-2.128723297E0,3.361559601E0,7.939489746E0,8.880711866E0
2.442738791E0,-2.211800537E0,3.301684113E0,8.101003876E0,9.023272322E0
2.452708791E0,-2.235900421E0,3.213667145E0,8.413254547E0,9.279534433E0
2.462678791E0,-2.138752441E0,3.181334381E0,8.678502960E0,9.487442441E0
2.472647791E0,-1.980381775E0,3.136577454E0,8.931626587E0,9.671296893E0
2.482617791E0,-1.986818390E0,3.057841187E0,9.151519318E0,9.851301734E0
2.492587791E0,-2.160756683E0,3.015030212E0,9.293723602E0,1.000662656E1
2.502556792E0,-2.436782684E0,2.876568146E0,9.325906677E0,1.005907995E1
2.512526792E0,-2.698887634E0,2.782413940E0,9.318122864E0,1.009223640E1
2.522496792E0,-2.910248108E0,2.771786041E0,9.388326874E0,1.021239558E1
2.532465791E0,-3.034639435E0,2.674338684E0,9.472152557E0,1.029965038E1
2.542435791E0,-3.197800140E0,2.509980469E0,9.798923035E0,1.060871436E1
2.552405791E0,-3.286266174E0,2.381846924E0,1.024724075E1,1.102173685E1
2.562374792E0,-3.335513763E0,2.222278748E0,1.080707657E1,1.152636451E1
2.572344792E0,-3.395838318E0,2.094444580E0,1.134580627E1,1.202687557E1
2.582314792E0,-3.435056763E0,1.943857727E0,1.176553345E1,1.240991439E1
2.592283791E0,-3.464096375E0,1.796114960E0,1.198452805E1,1.260376551E1
2.602253791E0,-3.496728516E0,1.720522156E0,1.204590042E1,1.266060914E1
2.612223791E0,-3.494333496E0,1.645079041E0,1.202748871E1,1.263238443E1
2.622192792E0,-3.487896881E0,1.557211761E0,1.209589645E1,1.268467753E1
2.632162792E0,-3.441643066E0,1.413809967E0,1.230965195E1,1.285967716E1
2.642132792E0,-3.346441040E0,1.270258484E0,1.272907974E1,1.322277185E1
2.652101791E0,-3.267405396E0,1.118174744E0,1.325074493E1,1.369337409E1
2.662071791E0,-3.097508698E0,9.816586304E-1,1.375699219E1,1.413552432E1
2.672041791E0,-2.908302155E0,8.693920898E-1,1.439451645E1,1.471108996E1
2.682011792E0,-2.815345459E0,7.797285461E-1,1.492636047E1,1.520954909E1
2.691980791E0,-2.764600983E0,7.665559387E-1,1.511945892E1,1.538923860E1
2.701950791E0,-2.765199738E0,7.685018921E-1,1.501078491E1,1.528268918E1
2.711920791E0,-2.860102386E0,8.349636841E-1,1.467578156E1,1.497517660E1
2.721889792E0,-2.885250092E0,8.809181213E-1,1.417013306E1,1.448769670E1
2.731859792E0,-2.902314606E0,7.725434875E-1,1.372091721E1,1.404577597E1
2.741829792E0,-2.813549194E0,5.842350769E-1,1.352272934E1,1.382467354E1
2.751798791E0,-2.531835022E0,4.218228149E-1,1.350506607E1,1.374681536E1
2.761768791E0,-2.218835907E0,2.983296204E-1,1.361493759E1,1.379778094E1
2.771738791E0,-1.996548157E0,1.429527283E-1,1.365774857E1,1.380364937E1
2.781707792E0,-1.872755585E0,-7.828720093E-2,1.353934479E1,1.366847466E1
2.791677792E0,-1.499431915E0,-6.182144165E-2,1.339190140E1,1.347572414E1
2.801647792E0,-1.278641052E0,-6.212081909E-2,1.314940567E1,1.321157263E1
2.811616791E0,-1.277742920E0,-2.077679443E-1,1.284404068E1,1.290911211E1
2.821586791E0,-1.262324982E0,-1.892065430E-1,1.268537064E1,1.274942711E1
2.831556791E0,-1.335223389E0,-3.121009827E-1,1.256966125E1,1.264423238E1
2.841525792E0,-1.273851013E0,-4.706213379E-1,1.256367371E1,1.263685395E1
2.851495792E0,-9.738748169E-1,-5.325924683E-1,1.273446854E1,1.278275306E1
2.861465791E0,-7.870632935E-1,-5.511538696E-1,1.280841476E1,1.284440454E1
2.871434791E0,-5.631289673E-1,-5.593867493E-1,1.260498779E1,1.262995428E1
2.881404791E0,-3.321592712E-1,-5.337899780E-1,1.233000961E1,1.234602764E1
2.891374792E0,-6.526428223E-2,-5.019062805E-1,1.215262848E1,1.216316358E1
2.901343791E0,1.853146362E-1,-4.822970581E-1,1.208841202E1,1.209944863E1
2.911313791E0,3.216810608E-1,-4.894821167E-1,1.215247879E1,1.216658589E1
2.921283791E0,5.087919617E-1,-4.207749939E-1,1.240215958E1,1.241972154E1
2.931252792E0,7.722441101E-1,-2.806663513E-1,1.276036469E1,1.278679168E1
2.941222792E0,9.455836487E-1,-2.471360779E-1,1.300824921E1,1.304491288E1
2.951192792E0,1.024170227E0,-1.754351807E-1,1.311138474E1,1.315249451E1
2.961161791E0,1.260678406E0,-6.676116943E-2,1.316661987E1,1.322700442E1
2.971131791E0,1.528770905E0,-2.080673218E-2,1.328966400E1,1.337732195E1
2.981101791E0,1.743424530E0,-2.694396973E-3,1.344968124E1,1.356220712E1
2.991070792E0,2.017953644E0,-3.487747192E-2,1.375190277E1,1.389921520E1
3.001040792E0,2.351160736E0,-5.957611084E-2,1.417582123E1,1.436960033E1
3.011010792E0,2.621797943E0,-1.055305481E-1,1.464210159E1,1.487535210E1
3.020979791E0,2.775827637E0,-1.109193420E-1,1.498863098E1,1.524390307E1
3.030949791E0,2.944377136E0,1.466949463E-2,1.502081406E1,1.530667916E1
3.040919791E0,3.105741577E0,1.172062683E-1,1.484507950E1,1.516692960E1
3.050888792E0,3.305426331E0,3.124003601E-1,1.451052521E1,1.488552246E1
3.060858792E0,3.557352448E0,5.532495117E-1,1.421503967E1,1.466383969E1
3.070828791E0,3.768712921E0,7.354206848E-1,1.395083908E1,1.446962169E1
3.080797791E0,3.985312500E0,8.433462524E-1,1.359682526E1,1.419392848E1
3.090767791E0,4.256548462E0,9.562115479E-1,1.320987991E1,1.391163084E1
3.100737792E0,4.569846954E0,1.087488556E0,1.301259018E1,1.383450887E1
3.110706791E0,4.830155640E0,1.135987701E0,1.283610718E1,1.376177747E1
3.120676791E0,5.054539032E0,1.183738403E0,1.242102036E1,1.346221929E1
3.130646625E0,5.189408569E0,1.246757355E0,1.176224030E1,1.291644928E1
3.140615625E0,5.222040710E0,1.260379028E0,1.100257004E1,1.224397043E1
3.150585625E0,5.130131836E0,1.287173309E0,1.030442184E1,1.158258077E1
3.160555625E0,4.987777863E0,1.289867706E0,9.680968323E0,1.096644128E1
3.170524625E0,4.861590271E0,1.254391479E0,9.090895386E0,1.038522686E1
3.180494625E0,4.802762604E0,1.264570312E0,8.436007233E0,9.789376116E0
3.190464625E0,4.649331665E0,1.331630859E0,7.906558228E0,9.268397309E0
3.200433625E0,4.431235199E0,1.414109344E0,7.496710510E0,8.822483726E0
3.210403625E0,4.261937256E0,1.510508881E0,7.133715363E0,8.446042927E0
3.220373625E0,4.062701569E0,1.569336548E0,6.812782745E0,8.085936555E0
3.230342625E0,3.753744049E0,1.566941528E0,6.589596863E0,7.743945180E0
3.240312625E0,3.469634857E0,1.608854370E0,6.483018494E0,7.527038409E0
3.250282625E0,3.166365509E0,1.635498962E0,6.308780823E0,7.245787939E0
3.260251625E0,2.868634644E0,1.683249664E0,5.985453186E0,6.847484501E0
3.270221625E0,2.498304749E0,1.683549042E0,5.594615936E0,6.354179055E0
